Preview of generated absorbance spectra
Format: wavelength (nm), absorbance

Spectrum 0, Class 0 (long-pass)
400.00, 0.010382
401.00, 0.010346
402.00, 0.016286
403.00, 0.013575
404.00, 0.009462
405.00, 0.012762
406.00, 0.009410
407.00, 0.009367
408.00, 0.011663
409.00, 0.004524
410.00, 0.005109
411.00, 0.008904
412.00, 0.007383
413.00, 0.011721
414.00, 0.007657
415.00, 0.005959
416.00, 0.015408
417.00, 0.009797
418.00, 0.010728
419.00, 0.005774
420.00, 0.008639
421.00, 0.010763
422.00, 0.006568
423.00, 0.011564
424.00, 0.008310
425.00, 0.009292
426.00, 0.008234
427.00, 0.016286
428.00, 0.010101
429.00, 0.006623
430.00, 0.012784
431.00, 0.006014
432.00, 0.010690
433.00, 0.003507
434.00, 0.005552
435.00, 0.010542
436.00, 0.012291
437.00, 0.010386
438.00, 0.009404
439.00, 0.008757
440.00, 0.004841
441.00, 0.007305
442.00, 0.008123
443.00, 0.013089
444.00, 0.010702
445.00, 0.003723
446.00, 0.010566
447.00, 0.008192
448.00, 0.007194
449.00, 0.011405
450.00, 0.012751
451.00, 0.012387
452.00, 0.006516
453.00, 0.008226
454.00, 0.010301
455.00, 0.012389
456.00, 0.007558
457.00, 0.008490
458.00, 0.005419
459.00, 0.005087
460.00, 0.011672
461.00, 0.013428
462.00, 0.008684
463.00, 0.012193
464.00, 0.010042
465.00, 0.006688
466.00, 0.009969
467.00, 0.013811
468.00, 0.008588
469.00, 0.013827
470.00, 0.000000
471.00, 0.011307
472.00, 0.008849
473.00, 0.007541
474.00, 0.008793
475.00, 0.001904
476.00, 0.007695
477.00, 0.009560
478.00, 0.013218
479.00, 0.006603
480.00, 0.005611
481.00, 0.006586
482.00, 0.011221
483.00, 0.009252
484.00, 0.006387
485.00, 0.009789
486.00, 0.008381
487.00, 0.011218
488.00, 0.005676
489.00, 0.006875
490.00, 0.006627
491.00, 0.003061
492.00, 0.008825
493.00, 0.008674
494.00, 0.007795
495.00, 0.006970
496.00, 0.003044
497.00, 0.006287
498.00, 0.006509
499.00, 0.004960
500.00, 0.007038
501.00, 0.008867
502.00, 0.013718
503.00, 0.008043
504.00, 0.008283
505.00, 0.007156
506.00, 0.001044
507.00, 0.007248
508.00, 0.007501
509.00, 0.015389
510.00, 0.006605
511.00, 0.008202
512.00, 0.007063
513.00, 0.003295
514.00, 0.010884
515.00, 0.009567
516.00, 0.009668
517.00, 0.004037
518.00, 0.011631
519.00, 0.002362
520.00, 0.008892
521.00, 0.014154
522.00, 0.003649
523.00, 0.005027
524.00, 0.007204
525.00, 0.005200
526.00, 0.001734
527.00, 0.007059
528.00, 0.003322
529.00, 0.008377
530.00, 0.003782
531.00, 0.011921
532.00, 0.004234
533.00, 0.005762
534.00, 0.009517
535.00, 0.002796
536.00, 0.007625
537.00, 0.011213
538.00, 0.001643
539.00, 0.007593
540.00, 0.007892
541.00, 0.009673
542.00, 0.003091
543.00, 0.002898
544.00, 0.009065
545.00, 0.008432
546.00, 0.008403
547.00, 0.008859
548.00, 0.005635
549.00, 0.008821
550.00, 0.009223
551.00, 0.006130
552.00, 0.014887
553.00, 0.010584
554.00, 0.005414
555.00, 0.011859
556.00, 0.006879
557.00, 0.013125
558.00, 0.014840
559.00, 0.008862
560.00, 0.015346
561.00, 0.014203
562.00, 0.016297
563.00, 0.020664
564.00, 0.014519
565.00, 0.013855
566.00, 0.014527
567.00, 0.016008
568.00, 0.019811
569.00, 0.022701
570.00, 0.024157
571.00, 0.027812
572.00, 0.027158
573.00, 0.034142
574.00, 0.030943
575.00, 0.043492
576.00, 0.039571
577.00, 0.037961
578.00, 0.040856
579.00, 0.049925
580.00, 0.051929
581.00, 0.059762
582.00, 0.064158
583.00, 0.068031
584.00, 0.071672
585.00, 0.076221
586.00, 0.087091
587.00, 0.099374
588.00, 0.105927
589.00, 0.110507
590.00, 0.125337
591.00, 0.136991
592.00, 0.144601
593.00, 0.160685
594.00, 0.173936
595.00, 0.184469
596.00, 0.204849
597.00, 0.221905
598.00, 0.240967
599.00, 0.259156
600.00, 0.270353
